gene_symbols,highly_variable,means,dispersions,dispersions_norm,mean,std
ENSG00000211900,1,0.0029103132,5.6360855,3.63181,0.00044644522,0.026896484
ENSG00000211904,1,6.4018364e-05,4.131874,1.9497685,1.1637376e-05,0.004684551
ENSG00000211905,1,0.00018288281,4.8593526,2.7632504,1.2855948e-05,0.0066211573
ENSG00000211933,1,0.10245297,8.085919,6.3712664,0.0038708851,0.109012
ENSG00000211934,1,0.29423282,7.9026065,6.1662817,0.0142039005,0.2093809
ENSG00000211935,1,0.16942166,8.099297,6.3862243,0.0060966755,0.13441122
ENSG00000211937,1,0.28155467,8.067205,6.35034,0.007120832,0.1567353
ENSG00000211938,1,0.31087714,8.098001,7.7632694,0.011161214,0.1874283
ENSG00000211941,1,0.17647263,8.198989,6.497702,0.0052029383,0.12691005
ENSG00000211942,1,0.039704934,8.196229,6.494617,0.0014401736,0.06374982
ENSG00000211943,1,0.19101775,7.9735255,6.245585,0.0068492875,0.14764746
ENSG00000211945,1,0.49339107,8.212048,7.9264736,0.012904464,0.2140222
ENSG00000211946,1,0.051675677,7.6926584,5.9315133,0.0030812726,0.08833035
ENSG00000211947,1,0.3313969,8.068873,7.7215877,0.012607427,0.19974546
ENSG00000211949,1,0.5281878,8.024548,7.6581554,0.02120704,0.2591196
ENSG00000211950,1,0.12247432,7.882367,6.1436496,0.0073691113,0.1396754
ENSG00000211951,1,0.07288472,8.279691,6.587945,0.0017557289,0.07904735
ENSG00000211952,1,0.028950311,7.15479,5.330057,0.0020835027,0.067017116
ENSG00000211955,1,0.19996753,7.6643972,5.899911,0.010190367,0.1719921
ENSG00000211956,1,0.5200176,7.8772106,7.4473133,0.028744992,0.30238837
ENSG00000211957,1,0.00073165196,5.2236457,3.170611,0.00022148428,0.01605922
ENSG00000211959,1,0.45882136,8.181131,7.8822317,0.015629673,0.2254308
ENSG00000211961,1,0.0033469277,6.909222,5.0554585,0.00025814265,0.024656065
ENSG00000211962,1,0.27651003,7.9471407,6.2160807,0.0138650285,0.20111182
ENSG00000211964,1,0.1952149,7.8968005,6.159789,0.0066313413,0.14167823
ENSG00000211965,1,0.07020716,7.886799,6.1486053,0.0025272907,0.089820825
ENSG00000211966,1,0.26171714,7.7383213,5.982574,0.013546985,0.20728682
ENSG00000211967,1,0.115891136,7.900823,6.1642876,0.004165901,0.10957796
ENSG00000211968,1,0.03528184,7.4841137,5.698314,0.0010757521,0.065569505
ENSG00000211970,1,0.085518315,7.720539,5.96269,0.003775476,0.100856446
ENSG00000211972,1,0.04106851,7.4142632,5.620206,0.0019738944,0.070595965
