Model,Mean,SD,Min,Max,Direction,Step1,Step12
"ARIMA(2,1,2) + AH3",-0.6346,0.002,-0.6393,-0.632,Decline,-0.6393,-0.6332
LSTM (3 features),-0.5289,0.0203,-0.5741,-0.5123,Recovery,-0.5741,-0.5123
