ARIMA,LSTM
-0.6393217402463175,-0.5741012692451477
-0.6370417421522662,-0.5623996257781982
-0.6348801694845408,-0.5467789769172668
-0.6338650985676144,-0.5340042114257812
-0.6349689198395868,-0.5253398418426514
-0.6357597876742733,-0.5199874043464661
-0.6352321352196763,-0.5168682932853699
-0.6335485112093933,-0.5150424838066101
-0.6326473118141522,-0.5140443444252014
-0.6320410327808514,-0.5132727026939392
-0.6322935640759351,-0.512678325176239
-0.6332082310942299,-0.5122533440589905
