IAI,index
-2.312394591720346,0
-0.20903270929874335,1
-0.4015018616805286,2
-0.41097060634452187,3
-0.4056612269459923,4
-0.03117647787600401,5
-0.7072377516675764,6
1.1566010068707637,7
-0.40942750535992883,8
0.2028573769758509,9
0.5809801978618059,10
-0.12140690445011072,11
0.2658446696275093,12
-0.9737425481714459,13
2.098144432751767,14
0.12629234698020675,15
0.7926743472090969,16
0.6636369972166899,17
-2.0924012176082076,18
0.6044096259700383,19
0.8933100719715745,20
0.06289036311495994,21
0.8827628119608616,22
0.18970626183767164,23
0.6729287004483671,24
-0.9034321062162862,25
0.6071447692158142,26
0.9981463887606727,27
1.3649984233397474,28
0.4746876707320542,29
0.008073447266045072,30
3.196389605946918,31
-1.0298079564891855,32
0.630402084214079,33
-1.6676678677600123,34
-0.06716118610658248,35
-0.06433679746278553,36
-0.9877515493506833,37
-0.1135484462088352,38
1.4675882486179759,39
0.4809816673040205,40
-0.08750454007076695,41
-0.42796227928019237,42
2.485251459124942,43
-0.2405352216691559,44
-0.12304259351426858,45
0.38358598851240633,46
-0.6433803202931517,47
-0.9213005206619725,48
0.2126884042040434,49
-0.5839919547502392,50
-1.0180423859191932,51
1.8978009282319483,52
-0.882069508649646,53
-0.6775992122781537,54
-0.4286175228003989,55
-0.8952341098994089,56
1.0737514014634104,57
-0.7607684022191773,58
-1.549835761057656,59
-0.43080113286840227,60
-1.0917745058488642,61
-1.0676765785185869,62
0.5944067479879749,63
0.45707839463498945,64
0.27135666981034184,65
0.0738458676602527,66
-0.3703213734309706,67
-0.37412519654805004,68
-0.337626485603103,69
-1.1383634919047367,70
2.3493569992083905,71
0.031288834938478685,72
-0.34595155135271066,73
-0.11821236021245342,74
0.17447345111207907,75
-0.07731893832476086,76
-0.12892246536871999,77
-0.7447858314989619,78
-0.9156672046368654,79
0.6032453437465658,80
0.8251556456715552,81
-0.34886703921171974,82
-0.5619960989852393,83
-0.3940865260169533,84
1.8731034656628476,85
-0.863965774184527,86
0.3660755219643174,87
0.2749758566723697,88
-0.6944987671361992,89
0.32027129384961617,90
1.77234113408073,91
1.6232293908871163,92
0.5294784306418279,93
0.7319838288515669,94
-0.050588185667305136,95
-0.40917536187732984,96
0.271473328067488,97
-0.5829386162007304,98
1.3300066359684235,99
0.07037019843594965,100
1.4584766356561687,101
-0.11768102300939703,102
0.3414412310433704,103
-0.3421880093852601,104
-3.4717491759592547,105
-2.1906139550602295,106
-0.7372694103564496,107
-0.8228549294105408,108
-0.08132475477134726,109
0.1419237828471658,110
